id,listing_url,borough,neighborhood,room_type,property_type,nightly_price
18750465,https://www.airbnb.com/rooms/18750465,Manhattan,Murray Hill,Entire home/apt,Entire rental unit,143.83
51482510,https://www.airbnb.com/rooms/51482510,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,197.2
17938337,https://www.airbnb.com/rooms/17938337,Brooklyn,Canarsie,Private room,Private room in home,191.5
31732450,https://www.airbnb.com/rooms/31732450,Brooklyn,Cypress Hills,Private room,Private room in rental unit,47.42
1116986059041927579,https://www.airbnb.com/rooms/1116986059041927579,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,760.0
1388011608342177183,https://www.airbnb.com/rooms/1388011608342177183,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,160.22
1498519787965653172,https://www.airbnb.com/rooms/1498519787965653172,Brooklyn,Bushwick,Shared room,Shared room in rental unit,42.21
33010488,https://www.airbnb.com/rooms/33010488,Manhattan,Midtown,Entire home/apt,Entire condo,708.0
694085224169979111,https://www.airbnb.com/rooms/694085224169979111,Manhattan,Harlem,Private room,Private room in rental unit,74.7
1263984426933497706,https://www.airbnb.com/rooms/1263984426933497706,Manhattan,Harlem,Private room,Private room in rental unit,67.11
2041041,https://www.airbnb.com/rooms/2041041,Manhattan,Upper East Side,Private room,Private room in rental unit,80.99
1403115358595551887,https://www.airbnb.com/rooms/1403115358595551887,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,193.03
26954041,https://www.airbnb.com/rooms/26954041,Manhattan,Theater District,Entire home/apt,Entire serviced apartment,1075.0
23275777,https://www.airbnb.com/rooms/23275777,Queens,Rego Park,Private room,Private room in home,255.06
588211929863905201,https://www.airbnb.com/rooms/588211929863905201,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,248.9
49551756,https://www.airbnb.com/rooms/49551756,Brooklyn,Crown Heights,Entire home/apt,Entire rental unit,302.5
30764990,https://www.airbnb.com/rooms/30764990,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,116.89
30087377,https://www.airbnb.com/rooms/30087377,Manhattan,West Village,Entire home/apt,Entire rental unit,416.91
1031292829310481951,https://www.airbnb.com/rooms/1031292829310481951,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,414.0
785573790051977844,https://www.airbnb.com/rooms/785573790051977844,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire home,273.72
26013177,https://www.airbnb.com/rooms/26013177,Brooklyn,Canarsie,Entire home/apt,Entire guest suite,200.0
18358363,https://www.airbnb.com/rooms/18358363,Brooklyn,Bedford-Stuyvesant,Private room,Private room in home,46.64
600705397043965626,https://www.airbnb.com/rooms/600705397043965626,Manhattan,Harlem,Private room,Private room in rental unit,74.77
53043735,https://www.airbnb.com/rooms/53043735,Queens,Ditmars Steinway,Entire home/apt,Entire rental unit,271.94
762429245666943839,https://www.airbnb.com/rooms/762429245666943839,Manhattan,Financial District,Entire home/apt,Room in aparthotel,809.0
735740047616638963,https://www.airbnb.com/rooms/735740047616638963,Bronx,Mott Haven,Private room,Private room in townhouse,220.0
10710179,https://www.airbnb.com/rooms/10710179,Manhattan,East Village,Private room,Private room in rental unit,256.76
52700537,https://www.airbnb.com/rooms/52700537,Manhattan,Theater District,Entire home/apt,Entire rental unit,198.77
958556618665753499,https://www.airbnb.com/rooms/958556618665753499,Queens,Flushing,Private room,Room in hotel,187.39
689200500518970386,https://www.airbnb.com/rooms/689200500518970386,Manhattan,Harlem,Private room,Private room in rental unit,91.09
19748553,https://www.airbnb.com/rooms/19748553,Queens,Astoria,Private room,Private room in home,45.32
1493350783991537744,https://www.airbnb.com/rooms/1493350783991537744,Queens,Hollis,Entire home/apt,Entire home,77.89
46050040,https://www.airbnb.com/rooms/46050040,Brooklyn,South Slope,Private room,Private room in home,70.06
910721238152346826,https://www.airbnb.com/rooms/910721238152346826,Queens,Forest Hills,Entire home/apt,Entire rental unit,132.0
847276077259113716,https://www.airbnb.com/rooms/847276077259113716,Manhattan,Harlem,Entire home/apt,Entire rental unit,869.5
36633369,https://www.airbnb.com/rooms/36633369,Brooklyn,Flatlands,Entire home/apt,Entire home,211.0
1177516630169566287,https://www.airbnb.com/rooms/1177516630169566287,Brooklyn,Fort Hamilton,Entire home/apt,Entire rental unit,165.0
48017619,https://www.airbnb.com/rooms/48017619,Brooklyn,East Flatbush,Entire home/apt,Entire home,81.13
1167325491094087654,https://www.airbnb.com/rooms/1167325491094087654,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,188.18
1553672257599767827,https://www.airbnb.com/rooms/1553672257599767827,Brooklyn,Flatlands,Hotel room,Room in hotel,185.0
963371797604061344,https://www.airbnb.com/rooms/963371797604061344,Brooklyn,Canarsie,Private room,Private room in home,369.6
1030685682018740063,https://www.airbnb.com/rooms/1030685682018740063,Queens,Howard Beach,Private room,Private room in home,49.96
47474703,https://www.airbnb.com/rooms/47474703,Manhattan,Harlem,Private room,Private room in guest suite,399.41
816182291434872215,https://www.airbnb.com/rooms/816182291434872215,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,67.83
35868549,https://www.airbnb.com/rooms/35868549,Manhattan,Murray Hill,Entire home/apt,Entire rental unit,272.87
819206,https://www.airbnb.com/rooms/819206,Manhattan,East Harlem,Shared room,Shared room in rental unit,41.43
1490120313717376547,https://www.airbnb.com/rooms/1490120313717376547,Brooklyn,Flatbush,Entire home/apt,Entire rental unit,144.91
747271541986706190,https://www.airbnb.com/rooms/747271541986706190,Manhattan,Lower East Side,Entire home/apt,Entire rental unit,158.2
53781715,https://www.airbnb.com/rooms/53781715,Manhattan,Financial District,Entire home/apt,Entire rental unit,299.29
253475,https://www.airbnb.com/rooms/253475,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,752.04
