listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,predicted_price_q10,predicted_price_q90,interval_width_pct,direction_confidence,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
932277,Fabulous Industrial Dumbo Loft,https://www.airbnb.com/rooms/932277,Brooklyn,DUMBO,Private room,Private room in loft,Individual,monthly,76.05,62.38,42.54,107.11,1.0186,Uncertain (within plausible range),9.0,Low,13.67,0.2192,Above model benchmark (review price)
936218,Central Harlem Clean Furnished Room (Near Apollo),https://www.airbnb.com/rooms/936218,Manhattan,Harlem,Private room,Private room in rental unit,Individual,monthly,53.47,63.91,42.95,87.66,0.717,Uncertain (within plausible range),40.1,Medium,-10.44,-0.1634,Below model benchmark (review price)
1533652,Charming Central Park Studio: Summer Park Strolls!,https://www.airbnb.com/rooms/1533652,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Individual,monthly,132.37,181.36,148.94,239.23,0.5104,Confident: raise price,81.8,Medium,-48.99,-0.2701,Below model benchmark (review price)
1534212,Great  studio with 2 rooms and kitchen,https://www.airbnb.com/rooms/1534212,Brooklyn,Sheepshead Bay,Entire home/apt,Entire rental unit,Small-Multi,monthly,444.33,144.14,92.51,285.24,1.3089,Confident: lower price,2.1,Low,300.19,2.0827,Above model benchmark (review price)
1549413,Beautiful Studio in Heart of Harlem,https://www.airbnb.com/rooms/1549413,Manhattan,Harlem,Entire home/apt,Entire rental unit,Small-Multi,monthly,103.4,111.98,77.38,163.36,0.7648,Uncertain (within plausible range),32.4,Medium,-8.58,-0.0766,Within 10% of model benchmark
939657,Behind the Red Door II,https://www.airbnb.com/rooms/939657,Manhattan,Harlem,Entire home/apt,Entire rental unit,Small-Multi,monthly,97.87,122.87,93.85,181.48,0.714,Uncertain (within plausible range),40.6,Medium,-25.0,-0.2035,Below model benchmark (review price)
940116,Bright Room in Historic Brownstone,https://www.airbnb.com/rooms/940116,Brooklyn,Sunset Park,Private room,Private room in rental unit,Small-Multi,monthly,65.77,61.42,46.71,87.62,0.6708,Uncertain (within plausible range),48.5,Medium,4.35,0.0708,Within 10% of model benchmark
1117706,Spacious Apt in Heart of Williamsburg,https://www.airbnb.com/rooms/1117706,Brooklyn,Williamsburg,Entire home/apt,Entire condo,Individual,monthly,159.48,154.94,131.89,281.19,0.9572,Uncertain (within plausible range),12.5,Low,4.54,0.0293,Within 10% of model benchmark
945297,Private East Village Gay-Friendly Dbl Room,https://www.airbnb.com/rooms/945297,Manhattan,East Village,Private room,Private room in rental unit,Individual,monthly,140.45,100.07,55.05,149.51,0.9297,Uncertain (within plausible range),14.4,Low,40.38,0.4035,Above model benchmark (review price)
1131804,Immaculate 2BR luxury townhouse 15mins to Midtown,https://www.airbnb.com/rooms/1131804,Manhattan,Harlem,Entire home/apt,Entire rental unit,Individual,monthly,158.57,159.68,99.91,208.67,0.6861,Uncertain (within plausible range),45.5,Medium,-1.11,-0.0069,Within 10% of model benchmark
1157522,North Williamsburg whole apt - Off the BEDFORD L,https://www.airbnb.com/rooms/1157522,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,Individual,monthly,213.4,162.12,146.13,276.89,0.8047,Uncertain (within plausible range),26.7,Medium,51.28,0.3163,Above model benchmark (review price)
1167658,Cozy Greenpoint Accommodation,https://www.airbnb.com/rooms/1167658,Brooklyn,Greenpoint,Private room,Private room in rental unit,Individual,monthly,67.18,77.48,51.04,107.28,0.7439,Uncertain (within plausible range),35.7,Medium,-10.3,-0.1329,Below model benchmark (review price)
1205103,Cozy & Private Fort Green Cottage,https://www.airbnb.com/rooms/1205103,Brooklyn,Fort Greene,Entire home/apt,Entire rental unit,Individual,monthly,111.54,168.63,112.22,201.41,0.5349,Confident: raise price,77.3,Medium,-57.09,-0.3386,Below model benchmark (review price)
1209921,Authentic NYC Living 2,https://www.airbnb.com/rooms/1209921,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire townhouse,Small-Multi,monthly,161.74,134.73,89.93,173.24,0.6216,Uncertain (within plausible range),58.9,Medium,27.01,0.2005,Above model benchmark (review price)
958444,Great 1BD Apt- water front City Island Bronx NY,https://www.airbnb.com/rooms/958444,Bronx,City Island,Entire home/apt,Entire rental unit,Small-Multi,monthly,103.39,91.11,67.37,120.18,0.5815,Uncertain (within plausible range),67.6,Medium,12.28,0.1348,Above model benchmark (review price)
973535,Private Garden Apt•5 Min to LGA•Ideal 4 Long Stays,https://www.airbnb.com/rooms/973535,Queens,East Elmhurst,Entire home/apt,Entire condo,Small-Multi,monthly,128.07,103.9,93.41,158.32,0.631,Uncertain (within plausible range),57.0,Medium,24.17,0.2326,Above model benchmark (review price)
1217318,Williamsburg Penthouse Hideaway,https://www.airbnb.com/rooms/1217318,Brooklyn,Williamsburg,Private room,Private room in rental unit,Individual,monthly,63.8,80.57,65.97,112.35,0.6105,Confident: raise price,61.6,Medium,-16.77,-0.2082,Below model benchmark (review price)
1655550,809-3A Newly Furnished 1BR Columbus Circle Elevato,https://www.airbnb.com/rooms/1655550,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,Enterprise,monthly,286.47,227.25,147.85,281.31,0.5874,Confident: lower price,66.4,Medium,59.22,0.2606,Above model benchmark (review price)
1656585,Sunny 1bd - Near SoHo Washington SQ and W. Village,https://www.airbnb.com/rooms/1656585,Manhattan,Greenwich Village,Entire home/apt,Entire rental unit,Small-Multi,monthly,274.84,179.05,132.47,267.79,0.7536,Confident: lower price,34.4,Medium,95.79,0.535,Above model benchmark (review price)
1672977,809-6A New 2BR Duplex With a Private Patio WD in u,https://www.airbnb.com/rooms/1672977,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,Enterprise,monthly,421.26,282.59,201.52,330.62,0.4595,Confident: lower price,88.9,Medium,138.67,0.4907,Above model benchmark (review price)
978386,"A gem garden nook on Broadway & 42ST in Queens, NY",https://www.airbnb.com/rooms/978386,Queens,Astoria,Entire home/apt,Entire rental unit,Small-Multi,monthly,116.9,118.82,83.92,151.79,0.5829,Uncertain (within plausible range),67.4,Medium,-1.92,-0.0162,Within 10% of model benchmark
