listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,max_guests,host_tier,segment,market_segment,cv_fold,actual_price_usd,predicted_fair_price_usd,residual_usd,residual_pct_of_fair,pricing_signal
1302598479748572008,Comfort Haven,https://www.airbnb.com/rooms/1302598479748572008,Brooklyn,East New York,Entire home/apt,Entire rental unit,4,Individual,Brooklyn | Entire home/apt | medium,short_stay,1,228.33,413.99,-185.66,-0.4485,Below fair value (underpriced)
1302598873140366555,"Private Suite｜1910 Townhouse｜Bushwick, Brooklyn",https://www.airbnb.com/rooms/1302598873140366555,Brooklyn,Bushwick,Private room,Private room in rental unit,2,Individual,Brooklyn | Private room | small,short_stay,5,222.53,241.69,-19.16,-0.0793,Below fair value (underpriced)
1319022775863233271,Close to Bedford Ave + Free Breakfast. Gym. Wi-Fi.,https://www.airbnb.com/rooms/1319022775863233271,Brooklyn,Bedford-Stuyvesant,Private room,Room in hotel,4,Small-Multi,Brooklyn | Private room | medium,short_stay,2,449.0,325.94,123.06,0.3775,Above fair value (overpriced)
1308791070578812470,Chic 1-bedroom with WiFi & AC in vibrant New York,https://www.airbnb.com/rooms/1308791070578812470,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,4,Small-Multi,Manhattan | Entire home/apt | medium,short_stay,1,509.5,511.11,-1.61,-0.0032,Below fair value (underpriced)
1308810839695104610,Luxury NYC 2BR/2BA w/ Fireplace & Skyline Views,https://www.airbnb.com/rooms/1308810839695104610,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,5,Small-Multi,Manhattan | Entire home/apt | large,short_stay,2,1329.5,727.54,601.96,0.8274,Above fair value (overpriced)
1319022934984304366,Close to Williamsburg + Free Breakfast. Gym. Wi-Fi,https://www.airbnb.com/rooms/1319022934984304366,Brooklyn,Bedford-Stuyvesant,Private room,Room in hotel,2,Small-Multi,Brooklyn | Private room | small,short_stay,2,298.59,288.44,10.15,0.0352,Above fair value (overpriced)
1319569215899340385,Spacious NYC 6BR Home• Families• Parking •LGA/JFK,https://www.airbnb.com/rooms/1319569215899340385,Queens,Astoria,Entire home/apt,Entire home,16,Small-Multi,Queens | Entire home/apt | large,short_stay,3,2291.0,1139.44,1151.56,1.0106,Above fair value (overpriced)
1314055810287235223,19 Century Cottage in the Village,https://www.airbnb.com/rooms/1314055810287235223,Manhattan,East Village,Private room,Private room in home,2,Individual,Manhattan | Private room | small,short_stay,5,408.0,259.28,148.72,0.5736,Above fair value (overpriced)
1308813592917247558,Cozy Bedroom with patio - close to airports,https://www.airbnb.com/rooms/1308813592917247558,Brooklyn,East New York,Private room,Private room in rental unit,1,Small-Multi,Brooklyn | Private room | small,short_stay,4,151.33,190.27,-38.94,-0.2046,Below fair value (underpriced)
1308822069323762943,Cozy 2BR | Manhattan | 20 min to Times Square,https://www.airbnb.com/rooms/1308822069323762943,Manhattan,Harlem,Entire home/apt,Entire home,6,Small-Multi,Manhattan | Entire home/apt | large,short_stay,2,509.28,443.66,65.62,0.1479,Above fair value (overpriced)
1321226209678557133,Park Slope one of a kind,https://www.airbnb.com/rooms/1321226209678557133,Brooklyn,Park Slope,Entire home/apt,Entire rental unit,2,Individual,Brooklyn | Entire home/apt | small,short_stay,3,443.33,421.59,21.74,0.0516,Above fair value (overpriced)
1309475998047965582,Exclusive Studio 1410 | Private Bathroom,https://www.airbnb.com/rooms/1309475998047965582,Manhattan,Midtown,Entire home/apt,Entire rental unit,8,Enterprise,Manhattan | Entire home/apt | large,short_stay,3,459.0,570.78,-111.78,-0.1958,Below fair value (underpriced)
1321577662261907481,Cozy room in Queens near JFK,https://www.airbnb.com/rooms/1321577662261907481,Queens,Laurelton,Private room,Private room in home,2,Small-Multi,Queens | Private room | small,short_stay,5,143.0,144.29,-1.29,-0.0089,Below fair value (underpriced)
1314782090718692471,Cozy Luxury Queen,https://www.airbnb.com/rooms/1314782090718692471,Brooklyn,Flatbush,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,2,168.0,169.49,-1.49,-0.0088,Below fair value (underpriced)
1314854424760333152,Cozy King Room @ The Cozy Bronx Haven,https://www.airbnb.com/rooms/1314854424760333152,Bronx,Concourse Village,Private room,Private room in rental unit,2,Small-Multi,Bronx | Private room | small,short_stay,4,143.0,187.22,-44.22,-0.2362,Below fair value (underpriced)
1315924666207563599,Exquisite Room Near JFK,https://www.airbnb.com/rooms/1315924666207563599,Queens,Laurelton,Private room,Private room in home,2,Small-Multi,Queens | Private room | small,short_stay,4,132.0,140.1,-8.1,-0.0578,Below fair value (underpriced)
1316046799962075466,Heaven House in Woodside 1,https://www.airbnb.com/rooms/1316046799962075466,Queens,Astoria,Private room,Private room in home,2,Small-Multi,Queens | Private room | small,short_stay,1,176.88,163.08,13.8,0.0846,Above fair value (overpriced)
